gvkey,iid,datadate,tic,prccd
170617,01,2018-11-21,META,134.82000000
170617,01,2018-11-23,META,131.73000000
170617,01,2018-11-26,META,136.38000000
170617,01,2018-11-27,META,135.00000000
170617,01,2018-11-28,META,136.76000000
170617,01,2018-11-29,META,138.68000000
170617,01,2018-11-30,META,140.61000000
170617,01,2018-12-03,META,141.09000000
170617,01,2018-12-04,META,137.93000000
170617,01,2018-12-06,META,139.63000000
170617,01,2018-12-07,META,137.42000000
170617,01,2018-12-10,META,141.85000000
170617,01,2018-12-11,META,142.08000000
170617,01,2018-12-12,META,144.50000000
170617,01,2018-12-13,META,145.01000000
170617,01,2018-12-14,META,144.06000000
170617,01,2018-12-17,META,140.19000000
170617,01,2018-12-18,META,143.66000000
170617,01,2018-12-19,META,133.24000000
170617,01,2018-12-20,META,133.40000000
170617,01,2018-12-21,META,124.95000000
170617,01,2018-12-24,META,124.06000000
170617,01,2018-12-26,META,134.18000000
170617,01,2018-12-27,META,134.52000000
170617,01,2018-12-28,META,133.20000000
170617,01,2018-12-31,META,131.09000000
170617,01,2019-01-02,META,135.68000000
170617,01,2019-01-03,META,131.74000000
170617,01,2019-01-04,META,137.95000000
170617,01,2019-01-07,META,138.05000000
170617,01,2019-01-08,META,142.53000000
170617,01,2019-01-09,META,144.23000000
170617,01,2019-01-10,META,144.20000000
170617,01,2019-01-11,META,143.80000000
170617,01,2019-01-14,META,145.39000000
170617,01,2019-01-15,META,148.95000000
170617,01,2019-01-16,META,147.54000000
170617,01,2019-01-17,META,148.30000000
170617,01,2019-01-18,META,150.04000000
170617,01,2019-01-22,META,147.57000000
170617,01,2019-01-23,META,144.30000000
170617,01,2019-01-24,META,145.83000000
170617,01,2019-01-25,META,149.01000000
170617,01,2019-01-28,META,147.47000000
170617,01,2019-01-29,META,144.19000000
170617,01,2019-01-30,META,150.42000000
170617,01,2019-01-31,META,166.69000000
170617,01,2019-02-01,META,165.71000000
170617,01,2019-02-04,META,169.25000000
170617,01,2019-02-05,META,171.16000000
170617,01,2019-02-06,META,170.49000000
170617,01,2019-02-07,META,166.38000000
170617,01,2019-02-08,META,167.33000000
170617,01,2019-02-11,META,165.79000000
170617,01,2019-02-12,META,165.04000000
170617,01,2019-02-13,META,164.07000000
170617,01,2019-02-14,META,163.95000000
170617,01,2019-02-15,META,162.50000000
170617,01,2019-02-19,META,162.29000000
170617,01,2019-02-20,META,162.56000000
170617,01,2019-02-21,META,160.04000000
170617,01,2019-02-22,META,161.89000000
170617,01,2019-02-25,META,164.62000000
170617,01,2019-02-26,META,164.13000000
170617,01,2019-02-27,META,162.81000000
170617,01,2019-02-28,META,161.45000000
170617,01,2019-03-01,META,162.28000000
170617,01,2019-03-04,META,167.37000000
170617,01,2019-03-05,META,171.26000000
170617,01,2019-03-06,META,172.51000000
170617,01,2019-03-07,META,169.13000000
170617,01,2019-03-08,META,169.60000000
170617,01,2019-03-11,META,172.07000000
170617,01,2019-03-12,META,171.92000000
170617,01,2019-03-13,META,173.37000000
170617,01,2019-03-14,META,170.17000000
170617,01,2019-03-15,META,165.98000000
170617,01,2019-03-18,META,160.47000000
170617,01,2019-03-19,META,161.57000000
170617,01,2019-03-20,META,165.44000000
170617,01,2019-03-21,META,166.08000000
170617,01,2019-03-22,META,164.34000000
170617,01,2019-03-25,META,166.29000000
170617,01,2019-03-26,META,167.68000000
170617,01,2019-03-27,META,165.87000000
170617,01,2019-03-28,META,165.55000000
170617,01,2019-03-29,META,166.69000000
170617,01,2019-04-01,META,168.70000000
170617,01,2019-04-02,META,174.20000000
170617,01,2019-04-03,META,173.54000000
170617,01,2019-04-04,META,176.02000000
170617,01,2019-04-05,META,175.72000000
170617,01,2019-04-08,META,174.93000000
170617,01,2019-04-09,META,177.58000000
170617,01,2019-04-10,META,177.82000000
170617,01,2019-04-11,META,177.51000000
170617,01,2019-04-12,META,179.10000000
170617,01,2019-04-15,META,179.65000000
170617,01,2019-04-16,META,178.87000000
170617,01,2019-04-17,META,178.78000000
170617,01,2019-04-18,META,178.28000000
170617,01,2019-04-22,META,181.44000000
170617,01,2019-04-23,META,183.78000000
170617,01,2019-04-24,META,182.58000000
170617,01,2019-04-25,META,193.26000000
170617,01,2019-04-26,META,191.49000000
170617,01,2019-04-29,META,194.78000000
170617,01,2019-04-30,META,193.40000000
170617,01,2019-05-01,META,193.03000000
170617,01,2019-05-02,META,192.53000000
170617,01,2019-05-03,META,195.47000000
170617,01,2019-05-06,META,193.88000000
170617,01,2019-05-07,META,189.77000000
170617,01,2019-05-08,META,189.54000000
170617,01,2019-05-09,META,188.65000000
170617,01,2019-05-10,META,188.34000000
170617,01,2019-05-13,META,181.54000000
170617,01,2019-05-14,META,180.73000000
170617,01,2019-05-15,META,186.27000000
170617,01,2019-05-16,META,186.99000000
170617,01,2019-05-17,META,185.30000000
170617,01,2019-05-20,META,182.72000000
170617,01,2019-05-21,META,184.82000000
170617,01,2019-05-22,META,185.32000000
170617,01,2019-05-23,META,180.87000000
170617,01,2019-05-24,META,181.06000000
170617,01,2019-05-28,META,184.31000000
170617,01,2019-05-29,META,182.19000000
170617,01,2019-05-30,META,183.01000000
170617,01,2019-05-31,META,177.47000000
170617,01,2019-06-03,META,164.15000000
170617,01,2019-06-04,META,167.50000000
170617,01,2019-06-05,META,168.17000000
170617,01,2019-06-06,META,168.33000000
170617,01,2019-06-07,META,173.35000000
170617,01,2019-06-10,META,174.82000000
170617,01,2019-06-11,META,178.10000000
170617,01,2019-06-12,META,175.04000000
170617,01,2019-06-13,META,177.47000000
170617,01,2019-06-14,META,181.33000000
170617,01,2019-06-17,META,189.01000000
170617,01,2019-06-18,META,188.47000000
170617,01,2019-06-19,META,187.48000000
170617,01,2019-06-20,META,189.53000000
170617,01,2019-06-21,META,191.14000000
170617,01,2019-06-24,META,192.60000000
170617,01,2019-06-25,META,188.84000000
170617,01,2019-06-26,META,187.66000000
170617,01,2019-06-27,META,189.50000000
170617,01,2019-06-28,META,193.00000000
170617,01,2019-07-01,META,193.00000000
170617,01,2019-07-02,META,195.00000000
170617,01,2019-07-03,META,197.20000000
170617,01,2019-07-05,META,196.40000000
170617,01,2019-07-08,META,195.76000000
170617,01,2019-07-09,META,199.21000000
170617,01,2019-07-10,META,202.73000000
170617,01,2019-07-11,META,201.23000000
170617,01,2019-07-12,META,204.87000000
170617,01,2019-07-15,META,203.91000000
170617,01,2019-07-16,META,203.84000000
170617,01,2019-07-17,META,201.80000000
170617,01,2019-07-18,META,200.78000000
170617,01,2019-07-19,META,198.36000000
170617,01,2019-07-22,META,202.32000000
170617,01,2019-07-23,META,202.36000000
170617,01,2019-07-24,META,204.66000000
170617,01,2019-07-25,META,200.71000000
170617,01,2019-07-26,META,199.75000000
170617,01,2019-07-29,META,195.94000000
170617,01,2019-07-30,META,197.04000000
170617,01,2019-07-31,META,194.23000000
170617,01,2019-08-01,META,192.73000000
170617,01,2019-08-02,META,189.02000000
170617,01,2019-08-05,META,181.73000000
170617,01,2019-08-06,META,184.51000000
170617,01,2019-08-07,META,185.15000000
170617,01,2019-08-08,META,190.16000000
170617,01,2019-08-09,META,187.85000000
170617,01,2019-08-12,META,185.37000000
170617,01,2019-08-13,META,188.45000000
170617,01,2019-08-14,META,179.71000000
170617,01,2019-08-15,META,182.59000000
170617,01,2019-08-16,META,183.70000000
170617,01,2019-08-19,META,186.17000000
170617,01,2019-08-20,META,183.81000000
170617,01,2019-08-21,META,183.55000000
170617,01,2019-08-22,META,182.04000000
